"Title","Player_Limit","Local_Limit","Genre","Subgenre","Release_Year","Online","Offline","Price"
"Insurgency","32","1","FPS","Action","2014","Yes","Yes",""
"Insurgency: Modern Infantry Combat","32","1","FPS","Action","2007","Yes","Yes","Free"
"Jagged Alliance 2","4","1","Strategy","Action","1999","No","Yes",""
"Jamestown: Legend of the Lost Colony","4","4","Action","Spaceship","2011","No","No",""
"Killing Floor","6","4","FPS","Survival","2009","Yes","Yes",""
"Killing Floor 2","6","1","FPS","Action","2015","Yes","No",""
"King Arthur's Gold","32","1","Platformer","Action","2013","Yes","Yes",""
"League of Legends","10","1","Strategy","MOBA","2009","Yes","No","Free"
"Left 4 Dead","8","1","FPS","Action","2008","Yes","Yes",""
"Left 4 Dead 2","8","1","FPS","Action","2009","Yes","Yes",""
"Left 4 Dead 2","2","2","Action","Survival","2009","Yes","Yes",""
"Lethal League","4","4","Action","Fighting","2014","Yes","Yes",""
"Little Fighter 2","8","4","Beat-em-up","Action","2005","Yes","Yes","Free"
"Magic 2014 - Duels of the Planeswalkers","4","1","Board game","Board game","2013","Yes","No",""
"Magic 2015 - Duels of the Planeswalkers","4","1","Board game","Board game","2014","Yes","No",""
"Magicka","4","4","Action","Shooter","2011","Yes","Yes",""
"Magicka 2","4","4","Action","Shooter","2015","Yes","Yes",""
"Marble Arena 2","32","1","Platformer","Puzzle","2011","Yes","Yes","Free"
"MechWarrior Online","24","1","FPS","Mech","2013","Yes","No","Free"
"MechWarrior: Living Legends","28","1","FPS","Mech","2009","Yes","Yes","Free"
"Might & Magic Heroes VI","8","8","Strategy","Turn-based","2011","Yes","No",""
"Minecraft","8","1","Open world","Sandbox","2011","Yes","Yes",""
"Minetest","999","1","Open world","Sandbox","2010","Yes","Yes","Free"
"Mobile Forces","32","1","FPS","Action","2002","Yes","Yes",""
"mobile legends","6","1","Action","Action","2016","Yes","Yes",""
"Monaco: What's Yours Is Mine","4","4","Action","Stealth","2013","Yes","Yes",""
"Monday Night Combat","12","1","FPS","MOBA","2011","Yes","No",""
"Moto Racer","8","1","Racing","Arcade","1997","No","Yes",""
"Moto Racer 2","8","4","Racing","Arcade","1998","Yes","Yes",""
"MotoGP 2","32","1","Racing","Arcade","2003","Yes","Yes",""
"Mount & Blade: Warband","200","1","FPS","Medieval","2010","Yes","Yes",""
"Mount Your Friends","4","4","Sports","Alternative","2014","Yes","No",""
"Move or Die","4","4","Platformer","Arcade","2016","Yes","Yes",""
"Multi Theft Auto: San Andreas","999","1","Open world","Action","2003","Yes","Yes","Free"
"NASCAR Racing 2003 Season","42","1","Racing","Simulation","2003","Yes","Yes",""
"NASCAR Thunder 2004","16","1","Racing","Simulation","2004","Yes","Yes",""
"Natural Selection","32","1","FPS","RTS","2002","Yes","Yes","Free"
"Natural Selection 2","32","1","FPS","RTS","2012","Yes","Yes",""
"Need for Speed : Underground","4","4","Racing","Arcade","2003","Yes","Yes",""
"Need for Speed III: Hot Pursuit","8","1","Racing","Arcade","1998","No","Yes",""
"Need For Speed Underground 2","6","1","Racing","Arcade","2004","Yes","Yes",""
"Need for Speed: Hot Pursuit","8","1","Racing","Arcade","2010","Yes","No",""
"Need for Speed: Hot Pursuit 2","8","1","Racing","Arcade","2002","Yes","Yes",""
"Need for Speed: Most Wanted","4","4","Racing","Arcade","2005","Yes","Yes",""
"Need for Speed: Shift","8","1","Racing","Arcade","2009","Yes","Yes",""
"NEOTOKYO°","32","1","FPS","Action","2014","Yes","Yes","Free"
"Nerf Arena Blast","32","1","FPS","Shooter","2000","Yes","Yes","Free"
"Neverwinter Nights","4","1","RPG","RPG","2002","Yes","Yes",""
"Neverwinter Nights 2","4","1","RPG","RPG","2006","Yes","Yes",""
"Next Car Game: Wreckfest","24","1","Racing","Survival","2014","Yes","Yes",""
"No One Lives Forever 2","4","1","FPS","Action","2002","Yes","Yes",""
"Nox","32","1","Action","RPG","2000","Yes","Yes",""
"Nuclear Dawn","32","1","FPS","Action","2011","Yes","Yes",""
"One Clone Left","6","1","Action","Shooter","2016","No","Yes",""
"Open Liero X","32","1","Platformer","Action","2006","Yes","Yes","Free"
"Open Red Alert","12","1","Strategy","RTS","2007","Yes","Yes","Free"
"Open Transport Tycoon Deluxe","255","1","Strategy","Simulation","2004","Yes","Yes","Free"
"OpenArena","64","1","FPS","Action","2005","Yes","Yes","Free"
"OpenRA","16","1","Strategy","RTS","2010","Yes","Yes","Free"
"OpenSpades","32","1","FPS","Action","2015","Yes","Yes","Free"
"OpenTTD","255","1","Simulator","Business","2004","Yes","Yes","Free"
"Orbital Gear","12","4","Action","Shooter","2014","Yes","Yes",""
"ORION: Prelude","10","1","FPS","Action","2012","Yes","No",""
"osu!","16","1","Rhythm","","2007","Yes","Yes","Free"
"Outgun","32","1","Action","Shooter","2006","Yes","Yes","Free"
"Outlaws","8","1","FPS","Wild West","1997","No","Yes",""
"Outlaws + A Handful of Missions","8","1","FPS","Wild West","1997","No","Yes",""
"Overcooked","4","4","Strategy","Simulation","2016","No","Yes",""
"Overwatch","12","1","FPS","Action","2016","Yes","No",""
"Paladins: Champions of the Realm","8","1","FPS","MOBA","2016","Yes","No","Free"
"Path of Exile","6","1","RPG","Action","2013","Yes","No","Free"
"Path of Exile","6","2","RPG","Action","2013","Yes","Yes","Free"
"Pax Imperia: Eminent Domain","16","1","Strategy","RTS","1997","Yes","Yes",""
"Payday 2","4","1","FPS","Action","2013","Yes","No",""
"Pirates of the Polygon Sea","0","1","Strategy","Business","2018","Yes","Yes",""
"Pirates, Vikings and Knights","32","1","FPS","Action","2004","Yes","Yes","Free"
"Pirates, Vikings and Knights II","24","1","FPS","Action","2007","Yes","Yes","Free"
"Plain Sight","20","1","Action","Action","2010","Yes","Yes",""
"Planetary Annihilation","10","1","Strategy","RTS","2014","Yes","Yes",""
"Planetary Annihilation: TITANS","10","1","Strategy","RTS","2015","Yes","Yes",""
"Plants vs. Zombies: Garden Warfare 2","24","2","Action","Tower Defense","2016","Yes","No",""
"Port Royale","1","1","Strategy","Simulation","2002","No","Yes",""
"Port Royale","1","1","FPS","Action","2012","No","Yes",""
"Port Royale","1","1","FPS","Action","2012","No","Yes",""
"Port Royale 2","1","1","Strategy","Simulation","2004","No","No",""
"Port Royale 2","1","1","Strategy","Simulation","2014","No","Yes",""
"Port Royale 3","4","1","Strategy","Simulation","2012","Yes","Yes",""
"Portal 2","2","1","FPS","Puzzle","2011","Yes","Yes",""
"Praetorians","8","1","Strategy","RTT","2003","Yes","Yes",""
"Prison Architect","16","1","Simulator","Strategy","2015","Yes","Yes",""
"Pro Evolution Soccer 2004","8","1","Sports","Football","2004","Yes","Yes",""
"Pro Evolution Soccer 2016","8","8","Sports","Football","2015","Yes","Yes",""
"Project Reality: Battlefield 2","2","1","FPS","Tactical","2005","Yes","No","Free"
"Project Zomboid","64","4","Open world","Survival","2013","Yes","Yes",""
"PULSAR: Lost Colony","5","1","Simulator","Spaceship","2015","Yes","No",""
"Pure","16","1","Racing","Arcade","2008","Yes","Yes",""
"Quake","12","4","FPS","Action","1996","Yes","Yes",""
"Quake 2","64","1","FPS","Action","1997","Yes","Yes",""
"Quake II: Quad Damage","64","1","FPS","Action","1997","Yes","Yes",""
"Quake III Arena","16","1","FPS","Action","1999","Yes","Yes",""
"Quake III: Gold","16","1","FPS","Action","2001","Yes","Yes",""
"Quake Live","16","1","FPS","Action","2010","Yes","No",""
"Race Driver: Grid","12","1","Racing","Arcade","2008","Yes","Yes",""
"Re-Volt","12","4","Racing","Karting","1999","Yes","Yes","Free"
"Realm of the Mad God","50","1","RPG","MMO","2011","Yes","No","Free"
"Red Eclipse","999","1","FPS","Action","2011","Yes","Yes","Free"
"Red Faction","32","32","FPS","Action","2001","Don't know","Yes",""
"Red Faction: Guerrilla","16","4","FPS","Action","2009","Yes","Yes",""
"Renegade X","40","1","FPS","Strategy","2014","Yes","Yes","Free"
"Resident Evil 5","4","2","Action","Horror","2009","Yes","Yes",""
"Return to Castle Wolfenstein","120","1","FPS","Shooter","2001","Yes","Yes","Free"
